anno543.gcg,6,78,False,L1,ENTRAN.E,74,L1,ENTRAN#E,74,L1,ENTRAN#E,74
anno543.gcg,7,71,False,1H,GAUZ.,45,2J,KA#ZU,56,2J,KA#ZU,56
anno543.gcg,8,67,True,3G,PRONA.oR,76,3G,PRONA#oR,76,3G,PRONA#oR,76
anno543.gcg,9,61,False,9G,WEEK,31,N2,W#OKE,28,9G,WEEK,31
anno543.gcg,11,52,True,O4,TOOTSIe,81,O4,TOOTSIe,81,O4,TOOTSIe,81
anno543.gcg,13,41,False,15L,VAST,43,15L,VAST,43,11C,STARVeD,76
anno543.gcg,15,35,False,13L,QA.D,28,13L,QA#D,28,2F,QuAD,44
anno543.gcg,17,28,False,10H,DRAB,27,I6,B#S#D,36,K5,BA#TS,38
anno543.gcg,19,19,False,B12,IDS,17,11K,AID#S,27,11J,TASS#,25
anno543.gcg,21,12,False,11K,EAV.S,31,11J,TOE,21,11I,STIEV#,36
anno194.gcg,4,88,False,H4,WORL.,13,H4,WORL#,13,D10,ScROWL,28
anno194.gcg,6,81,False,L2,BRIMS,32,L2,BRIMS,32,L2,BRIMS,32
anno194.gcg,8,72,False,13D,.ARTITAS,62,14D,STRIATA,69,D1,ASpARTI#,70
anno194.gcg,9,65,True,14H,nATIONS,75,K4,TO#NAIlS,88,K4,TO#NAIlS,88
anno194.gcg,10,59,False,H12,J..N,54,H12,J##N,54,J4,VI#AMENt,73
anno194.gcg,12,53,False,15L,MAID,41,15L,MAID,41,J4,VI#AMENt,73
anno194.gcg,14,47,False,5B,FL.B,18,11C,F##N,27,14B,ViSNE,32
anno194.gcg,15,44,False,3L,.E,4,8K,DEOXY,55,8K,DEOXY,55
anno194.gcg,16,43,True,N1,UNSaVED,77,N2,UNSaVED,89,N2,UNSaVED,89
anno194.gcg,18,32,False,12H,.EE,16,N10,FOE,30,G2,FlONG,31
anno194.gcg,20,28,False,10L,FOX.,33,N10,FOX,37,C5,#EX,37
anno194.gcg,21,25,False,11N,U,9,12A,POU#IE,20,9J,eLOPE#,31
